lore_type,leaked,response_length,fragment_count
OPTIMAL,False,1155.165991902834,3.1295546558704452
OPTIMAL,True,1185.3333333333333,4.333333333333333
STRONG,False,38.124,0.0
WEAK,False,330.0469798657718,1.4429530201342282
WEAK,True,129.26732673267327,3.613861386138614
